                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                    "x86_64-linux-21.4.1"                                 "CRMATH"                               "20210727"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      487                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.0000000000000000E+001                  3.4298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9996418397275511E-001                  2.1960201354896916E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9996418397275511E-001                  2.1960201354896916E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -3.8328925572832297E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -3.8328925572832297E+001                 -3.8328925572832297E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9359424196806265E+000                  4.9274136020262533E+000                  2.1144751225163709E+000                  1.2091173822703907E+000                  5.5080106612804519E-002                  9.6824927987826950E+000                 -4.2271371943932179E+000                  5.9470848735181736E+000                  1.3354228273961535E+000                  5.0001768702492411E-001                  4.0083434605328234E+000                  4.2225963537187369E-054                  9.9709387785045556E-001                  4.8256367051006547E-004                  1.3132738703209462E-003                  4.8256367051006547E-004                  1.3132738703209464E-003                  4.5582197530522403E-055                  9.9709387785045465E+000                                        0                                        4 
                                       5                                      488                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.0000000000000000E+001                  3.4298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9996418397275511E-001                  1.6393002788130575E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9996418397275511E-001                  1.6393002788130575E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -3.8328912372026963E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -3.8328912372026963E+001                 -3.8328912372026963E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9359495495908825E+000                  4.9274417567225077E+000                  2.1144749400439857E+000                  1.2091177472151613E+000                 -5.2346961746693246E-003                  9.6824939654114210E+000                 -4.2271363164262379E+000                  5.9470851641088478E+000                  1.3354228270927853E+000                  5.0001768702492411E-001                  4.0083434605328234E+000                  3.1423387614134732E-053                  9.9709387785045556E-001                  4.8256367051006547E-004                  1.3132738703209462E-003                  4.8256367051006547E-004                  1.3132738703209464E-003                  3.3921009061775177E-054                  9.9709387785045465E+000                                        0                                        2 
                                      10                                      486                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.0000000000000000E+001                  3.4298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9996418397275511E-001                  1.6398375836374577E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9996418397275511E-001                  1.6398375836374577E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -3.8328874252497961E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -3.8328874252497961E+001                 -3.8328874252497961E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9359465873335457E+000                  4.9274282601680426E+000                  2.1144741162814267E+000                  1.2091193947402792E+000                 -5.4316247662044917E-003                  9.6824973325256440E+000                 -4.2271337834199363E+000                  5.9470860031453165E+000                  1.3354228262166434E+000                  5.0001768702492411E-001                  4.0083434605328234E+000                  1.0962002422948417E-052                  9.9709387785045556E-001                  4.8256367051006547E-004                  1.3132738703209462E-003                  4.8256367051006547E-004                  1.3132738703209464E-003                  1.1833299582903615E-053                  9.9709387785045465E+000                                        0                                        2 
                                      15                                      488                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.0000000000000000E+001                  3.4298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9996418397275511E-001                  1.6412010244456689E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9996418397275511E-001                  1.6412010244456689E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -3.8328779412680156E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -3.8328779412680156E+001                 -3.8328779412680156E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9359435904217772E+000                  4.9274122274191097E+000                  2.1144720937304977E+000                  1.2091234398421375E+000                 -5.2946414943299026E-003                  9.6825057087506980E+000                 -4.2271274820113121E+000                  5.9470880903257690E+000                  1.3354228240372117E+000                  5.0001768702492411E-001                  4.0083434605328234E+000                  3.0423043883279488E-052                  9.9709387785045556E-001                  4.8256367051006547E-004                  1.3132738703209462E-003                  4.8256367051006547E-004                  1.3132738703209464E-003                  3.2841209862405194E-053                  9.9709387785045465E+000                                        0                                        2 
                                      20                                      486                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.0000000000000000E+001                  3.4298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9996418397275511E-001                  1.6445002100710378E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9996418397275511E-001                  1.6445002100710378E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -3.8328543441076896E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -3.8328543441076896E+001                 -3.8328543441076896E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9359423452048579E+000                  4.9273974442810706E+000                  2.1144671925953169E+000                  1.2091332421124987E+000                 -5.1718577079373287E-003                  9.6825265469928432E+000                 -4.2271118051579046E+000                  5.9470932826748450E+000                  1.3354228186155310E+000                  5.0001768702492411E-001                  4.0083434605328234E+000                  7.8868255947905155E-052                  9.9709387785045556E-001                  4.8256367051006547E-004                  1.3132738703209462E-003                  4.8256367051006547E-004                  1.3132738703209464E-003                  8.5137330590483765E-053                  9.9709387785045465E+000                                        0                                        2 
                                      25                                      488                  4.7198108322034473E-003                 -3.0996500948570040E+000                  1.0000000000000000E+001                  3.4298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9996418397275511E-001                  1.6524581202453283E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9996418397275511E-001                  1.6524581202453283E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -3.8327956283236730E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -3.8327956283236730E+001                 -3.8327956283236730E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9359432419419429E+000                  4.9273769589426788E+000                  2.1144551564519505E+000                  1.2091573143992325E+000                 -5.1278760988547308E-003                  9.6825783921690558E+000                 -4.2270728010124090E+000                  5.9471062010048446E+000                  1.3354228051273351E+000                  5.0001768702492411E-001                  4.0083434605328234E+000                  1.9953881731100987E-051                  9.9709387785045556E-001                  4.8256367051006547E-004                  1.3132738703209462E-003                  4.8256367051006547E-004                  1.3132738703209464E-003                  2.1540138082391051E-052                  9.9709387785045465E+000                                        0                                        2 
                                      30                                      486                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.0000000000000000E+001                  3.4298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9996418397275511E-001                  1.6719126939294185E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9996418397275511E-001                  1.6719126939294185E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -3.8326495391183840E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -3.8326495391183840E+001                 -3.8326495391183840E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9359468533716555E+000                  4.9273316960936588E+000                  2.1144253021680157E+000                  1.2092170229671013E+000                 -5.1196210381196667E-003                  9.6827073780782573E+000                 -4.2269757614085641E+000                  5.9471383402582205E+000                  1.3354227715743123E+000                  5.0001768702492411E-001                  4.0083434605328234E+000                  5.0057098160532781E-051                  9.9709387785045556E-001                  4.8256367051006547E-004                  1.3132738703209462E-003                  4.8256367051006547E-004                  1.3132738703209464E-003                  5.4037475726731029E-052                  9.9709387785045465E+000                                        0                                        2 
                                      35                                      488                  2.9483411457712130E-002                 -2.3078376343807561E+000                  1.0000000000000000E+001                  3.4298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9996418397275511E-001                  1.7199145483506640E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9996418397275511E-001                  1.7199145483506640E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -3.8322861441345580E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -3.8322861441345580E+001                 -3.8322861441345580E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9359560969393468E+000                  4.9272201834281502E+000                  2.1143510586998788E+000                  1.2093655099033749E+000                 -5.1164290741575434E-003                  9.6830282259670728E+000                 -4.2267343744562016E+000                  5.9472182840106944E+000                  1.3354226881382558E+000                  5.0001768702492411E-001                  4.0083434605328234E+000                  1.2543939334750917E-050                  9.9709387785045556E-001                  4.8256367051006547E-004                  1.3132738703209462E-003                  4.8256367051006547E-004                  1.3132738703209464E-003                  1.3542042084294093E-051                  9.9709387785045465E+000                                        0                                        2 
                                      40                                      486                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.0000000000000000E+001                  3.4298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9996418397275511E-001                  1.8692553487670439E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9996418397275511E-001                  1.8692553487670439E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -3.8313827227168424E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -3.8313827227168424E+001                 -3.8313827227168424E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9359791037760417E+000                  4.9269430205603646E+000                  2.1141664635925963E+000                  1.2097347001179399E+000                 -5.1087402114216056E-003                  9.6838259441510424E+000                 -4.2261341935293544E+000                  5.9474170380801814E+000                  1.3354224808518864E+000                  5.0001768702492411E-001                  4.0083434605328234E+000                  3.1599338156565708E-050                  9.9709387785045556E-001                  4.8256367051006547E-004                  1.3132738703209462E-003                  4.8256367051006547E-004                  1.3132738703209464E-003                  3.4117762817671397E-051                  9.9709387785045465E+000                                        0                                        2 
