                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                    "x86_64-linux-21.4.1"                                 "CRMATH"                               "20210727"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      496                  1.0000000000000001E-005                 -4.9999999999999991E+000                  9.5000000000000000E+000                  3.4276229515649518E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9997007308408326E-001                  1.1568747226434414E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9997007308408326E-001                  1.1568747226434414E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.1362278949961521E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.1362278949961521E+001                 -4.1362278949961521E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  9.5000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8617106736891573E+000                  4.7366909396870573E+000                  2.1675772833297118E+000                  1.0806366659325568E+000                  1.0355004491613741E-001                  9.4356611391369469E+000                 -4.4013833246369929E+000                  5.8821732379228875E+000                  1.3406829846973665E+000                  5.0001748837402238E-001                  4.0426479561812982E+000                  4.4518268953379186E-057                  9.8589506975586561E-001                  2.4128183525503086E-003                  6.5663693516046784E-003                  2.4128183525503086E-003                  6.5663693516046766E-003                  4.2291379294992402E-058                  9.3660031626807214E+000                                        0                                        2 
                                       5                                      493                  7.4416000000000014E-005                 -4.6832750158095005E+000                  9.5000000000000000E+000                  3.4276229515649518E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9997007308408326E-001                  1.1568853491978701E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9997007308408326E-001                  1.1568853491978701E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.1362267774652203E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.1362267774652203E+001                 -4.1362267774652203E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  9.5000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8617268808479897E+000                  4.7367549808034832E+000                  2.1675768895702592E+000                  1.0806374534514618E+000                 -8.1909217738447108E-003                  9.4356620806602880E+000                 -4.4013826160519942E+000                  5.8821734722881116E+000                  1.3406829833841689E+000                  5.0001748837402238E-001                  4.0426479561812982E+000                  3.3129175559006685E-056                  9.8589506975586561E-001                  2.4128183525503086E-003                  6.5663693516046784E-003                  2.4128183525503086E-003                  6.5663693516046766E-003                  3.1471995167638036E-057                  9.3660031626807214E+000                                        0                                        2 
                                      10                                      493                  2.5958682111999997E-004                 -4.2873687855713758E+000                  9.5000000000000000E+000                  3.4276229515649518E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9997007308408326E-001                  1.1569158037499480E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9997007308408326E-001                  1.1569158037499480E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.1362235778429593E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.1362235778429593E+001                 -4.1362235778429593E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  9.5000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8617243145970694E+000                  4.7367431453512525E+000                  2.1675761043459847E+000                  1.0806390239000112E+000                 -5.9456516291587058E-003                  9.4356647773604259E+000                 -4.4013805858203954E+000                  5.8821741433024428E+000                  1.3406829796251067E+000                  5.0001748837402238E-001                  4.0426479561812982E+000                  1.1556976029910474E-055                  9.8589506975586561E-001                  2.4128183525503086E-003                  6.5663693516046784E-003                  2.4128183525503086E-003                  6.5663693516046766E-003                  1.0978880313251230E-056                  9.3660031626807214E+000                                        0                                        2 
                                      15                                      493                  7.2035107872931814E-004                 -3.8914625553332525E+000                  9.5000000000000000E+000                  3.4276229515649518E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9997007308408326E-001                  1.1569903715250676E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9997007308408326E-001                  1.1569903715250676E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.1362156177591423E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.1362156177591423E+001                 -4.1362156177591423E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  9.5000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8617185442921338E+000                  4.7367166225796815E+000                  2.1675743835700714E+000                  1.0806424654518381E+000                 -5.5325058212660049E-003                  9.4356714863928115E+000                 -4.4013755347859389E+000                  5.8821758126661505E+000                  1.3406829702733174E+000                  5.0001748837402238E-001                  4.0426479561812982E+000                  3.2073674969618927E-055                  9.8589506975586561E-001                  2.4128183525503086E-003                  6.5663693516046784E-003                  2.4128183525503086E-003                  6.5663693516046766E-003                  3.0469339192447642E-056                  9.3660031626807214E+000                                        0                                        2 
                                      20                                      493                  1.8668799962237366E-003                 -3.4955563250951283E+000                  9.5000000000000000E+000                  3.4276229515649518E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9997007308408326E-001                  1.1571709843521745E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9997007308408326E-001                  1.1571709843521745E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.1361958095645690E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.1361958095645690E+001                 -4.1361958095645690E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  9.5000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8617121786656723E+000                  4.7366830300981499E+000                  2.1675703185822282E+000                  1.0806505954275238E+000                 -5.2757548903213545E-003                  9.4356881813578379E+000                 -4.4013629656968298E+000                  5.8821799667848200E+000                  1.3406829470017900E+000                  5.0001748837402238E-001                  4.0426479561812982E+000                  8.3143397186029624E-055                  9.8589506975586561E-001                  2.4128183525503086E-003                  6.5663693516046784E-003                  2.4128183525503086E-003                  6.5663693516046766E-003                  7.8984751431371355E-056                  9.3660031626807214E+000                                        0                                        2 
                                      25                                      493                  4.7198108322034473E-003                 -3.0996500948570040E+000                  9.5000000000000000E+000                  3.4276229515649518E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9997007308408326E-001                  1.1576055727074978E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9997007308408326E-001                  1.1576055727074978E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.1361465210033629E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.1361465210033629E+001                 -4.1361465210033629E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  9.5000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8617107728866151E+000                  4.7366578582494681E+000                  2.1675605442160011E+000                  1.0806701441599780E+000                 -5.1405118706687545E-003                  9.4357297234221136E+000                 -4.4013316900695010E+000                  5.8821903034825249E+000                  1.3406828890948734E+000                  5.0001748837402238E-001                  4.0426479561812982E+000                  2.1033031529373816E-054                  9.8589506975586561E-001                  2.4128183525503086E-003                  6.5663693516046784E-003                  2.4128183525503086E-003                  6.5663693516046766E-003                  1.9981141565215063E-055                  9.3660031626807214E+000                                        0                                        2 
                                      30                                      493                  1.1818815689988481E-002                 -2.7037438646188803E+000                  9.5000000000000000E+000                  3.4276229515649518E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9997007308408326E-001                  1.1586677132535448E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9997007308408326E-001                  1.1586677132535448E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.1360238923776180E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.1360238923776180E+001                 -4.1360238923776180E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  9.5000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8617143248387999E+000                  4.7366239334975715E+000                  2.1675364779356827E+000                  1.0807182767206152E+000                 -5.1161027717594870E-003                  9.4358330808209594E+000                 -4.4012538751439303E+000                  5.8822160211564567E+000                  1.3406827450212770E+000                  5.0001748837402238E-001                  4.0426479561812982E+000                  5.2748862622885170E-054                  9.8589506975586561E-001                  2.4128183525503086E-003                  6.5663693516046784E-003                  2.4128183525503086E-003                  6.5663693516046766E-003                  5.0111664615727908E-055                  9.3660031626807214E+000                                        0                                        2 
                                      35                                      493                  2.9483411457712130E-002                 -2.3078376343807561E+000                  9.5000000000000000E+000                  3.4276229515649518E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9997007308408326E-001                  1.1614019186590942E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9997007308408326E-001                  1.1614019186590942E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.1357188507079847E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.1357188507079847E+001                 -4.1357188507079847E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  9.5000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8617242859089393E+000                  4.7365439852391980E+000                  2.1674765816662180E+000                  1.0808380692595445E+000                 -5.1225803163685579E-003                  9.4360901956723531E+000                 -4.4010602971938368E+000                  5.8822799960164600E+000                  1.3406823866173079E+000                  5.0001748837402238E-001                  4.0426479561812982E+000                  1.3208844739845115E-053                  9.8589506975586561E-001                  2.4128183525503086E-003                  6.5663693516046784E-003                  2.4128183525503086E-003                  6.5663693516046766E-003                  1.2548990171076227E-054                  9.3660031626807214E+000                                        0                                        2 
                                      40                                      493                  7.3438578398454232E-002                 -1.9119314041426323E+000                  9.5000000000000000E+000                  3.4276229515649518E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9997007308408326E-001                  1.1694893342042569E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9997007308408326E-001                  1.1694893342042569E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.1349603696281960E+001                 -9.8999999999999986E+001                 -5.7195699176156424E+001                 -4.1349603696281960E+001                 -4.1349603696281960E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  9.5000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8617486032642319E+000                  4.7363427411258572E+000                  2.1673273248989622E+000                  1.0811365827940558E+000                 -5.1266585576959589E-003                  9.4367295711777075E+000                 -4.4005789029300990E+000                  5.8824390779213171E+000                  1.3406814953412145E+000                  5.0001748837402238E-001                  4.0426479561812982E+000                  3.3213805788647086E-053                  9.8589506975586561E-001                  2.4128183525503086E-003                  6.5663693516046784E-003                  2.4128183525503086E-003                  6.5663693516046766E-003                  3.1557902350786171E-054                  9.3660031626807214E+000                                        0                                        2 
